Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Ast28B	8.554748062061606	37.0	140.69691269812188	36.36363636363637	245619.0						
Ast28B.R1.pe	43.06417516451844	39.0	149.47562220989101	9.090909090909092	4932379.0						
Ast28B.R1.se	22.177926325619808	39.0	136.343252132524	9.090909090909092	186985.0						
Ast28B.R2.pe	40.39764344533463	39.0	149.5043724336674	9.090909090909092	4932379.0						
Ast28B.R2.se	11.786676672237945	39.0	138.8243681140635	18.181818181818183	58634.0						
Ast28B_R1_001	57.405581971581995	41.0	150.0	36.36363636363637	26809030.0						
Ast28B_R2_001	55.51661346336573	42.0	150.0	27.27272727272727	26809030.0						
fastp						17.999200000000002	0.937319	3062048727.0	0.398428	38.89297561306769	40.28783398727966
trimmomatic_Ast28B_R1_PE	52.1248624451859	39.0	149.78137492438626	18.181818181818183	15769289.0						
trimmomatic_Ast28B_R1_SE	49.908404253753766	39.0	114.25604396889231	18.181818181818183	10348953.0						
trimmomatic_Ast28B_R2_PE	50.2615010283729	39.0	149.83808515399775	18.181818181818183	15769289.0						
trimmomatic_Ast28B_R2_SE	76.31836049940262	92.0	149.9590941770613	45.45454545454545	684328.0						
